show_id,Show Title,Year,Previews Date,Opening Date,Closing Date,Theatre Name,Production Type,Show Type,Show Type (Simple),Intermissions,N Performances,Run Time,Show Not Opened,Revival,Other Titles,Official Website,N People,N Performers,N Creative Team,theatre_id,Theatre Full Address,Theatre Street Address,Theatre Address Locality,Theatre Address Region,Theatre Postal Code,Theatre Year Closed,Theatre Year Demolished,Theatre Capacity
331455,"Hello, Dolly!",2017,2017-03-15,2017-04-20,2018-08-25,Shubert Theatre (Broadway),Revival,Musical,Musical,1.0,,,False,True,Dolly A Damned Exasperating Woman (working title),http//hellodollyonbroadway.com/,54,38,16,5075.0,225 West 44th St. New York NY,225 West 44th St.,New York,NY,,,,1460.0
331541,Charlie and the Chocolate Factory,2017,2017-03-28,2017-04-23,2018-01-14,Lunt-Fontanne Theatre,Premiere,Musical,Musical,,,,False,False,,http//charlieonbroadway.com/,51,36,15,5047.0,205 West 46th St. New York NY,205 West 46th St.,New York,NY,,,,1519.0
331572,Anastasia,2017,2017-03-23,2017-04-24,2019-03-31,Broadhurst Theatre,Premiere,Musical,Musical,1.0,,,False,False,,http//www.anastasiabroadway.com/,58,26,33,5016.0,235 W. 44th St. New York NY,235 W. 44th St.,New York,NY,,,,1186.0
331686,Six Degrees of Separation,2017,2017-04-05,2017-04-25,2017-06-18,Ethel Barrymore Theatre,Revival,Play,Play,0.0,,,False,True,,http//sixdegreesbroadway.com/,37,18,19,5031.0,243 West 47th St. New York NY,243 West 47th St.,New York,NY,,,,1096.0
331414,Bandstand,2017,2017-03-31,2017-04-26,2017-09-17,Bernard B. Jacobs Theatre,Premiere,Musical,Musical,1.0,,,False,False,,http//www.bandstandbroadway.com/,42,26,16,5934.0,242 West 45th St. New York NY,242 West 45th St.,New York,NY,,,,1078.0
331687,"A Doll's House, Part 2",2017,2017-03-30,2017-04-27,2017-09-24,John Golden Theatre,Premiere,Play,Play,0.0,,,False,False,,http//dollshousepart2.com/,14,8,6,5043.0,252 West 45th St. New York NY,252 West 45th St.,New York,NY,,,,805.0
331874,1984,2017,2017-05-18,2017-06-22,2017-10-08,Hudson Theatre (Broadway),Premiere,Play,Play,,,,False,False,,http//www.1984theplay.co.uk,27,15,13,6076.0,141 W. 44th St. New York NY,141 W. 44th St.,New York,NY,,,,1100.0
331722,Marvin's Room,2017,2017-06-08,2017-06-29,2017-08-27,American Airlines Theatre,Premiere,Play,Play,,,,False,False,,https//www.roundabouttheatre.org/Shows-E,21,8,13,5013.0,229 W. 42nd St. New York NY,229 W. 42nd St.,New York,NY,,,,740.0
332061,The Terms of My Surrender,2017,2017-07-28,2017-08-10,2017-10-22,Belasco Theatre,Original Production,Play,Play,0.0,,,False,False,,http//www.michaelmooreonbroadway.com/,10,1,10,5205.0,111 West 44th St. New York NY,111 West 44th St.,New York,NY,,,,1018.0
331751,Prince of Broadway,2017,2017-08-03,2017-08-24,2017-10-29,Samuel J. Friedman Theatre,Premiere,Musical,Musical,,,,False,False,,http//www.manhattantheatreclub.com/2017-,25,9,16,6984.0,261 W. 47th St. New York NY,261 W. 47th St.,New York,NY,,,,650.0
332075,Time and the Conways,2017,2017-09-14,2017-10-10,2017-11-26,American Airlines Theatre,Revival,Play,Play,,,,False,True,,http//www.roundabouttheatre.org/Shows-Ev,34,15,19,5013.0,229 W. 42nd St. New York NY,229 W. 42nd St.,New York,NY,,,,740.0
